country,hour,model,model_label,MAE,RMSE,mean_error_bias,max_absolute_error
LV,19,LEAR_8w,LEAR 8w,107.11786386790772,158.16558595728043,18.50236241607032,578.3693084881257
LV,20,LEAR_8w,LEAR 8w,115.63147202495065,182.74103373021248,2.329846003135929,641.7245446926999
LV,21,LEAR_8w,LEAR 8w,74.66408151498493,111.6078885483066,-9.219786986655393,332.2599719139973
LV,22,LEAR_8w,LEAR 8w,61.15913354813572,98.79382762856942,-23.244375073237606,332.12668266452215
LV,23,LEAR_8w,LEAR 8w,71.57020092640495,105.3631951818517,-7.318070384150517,327.03961379396173
LV,0,LEAR_12w,LEAR 12w,20.384346767531373,27.445014857923777,-0.5679435523944618,58.858307491453644
LV,1,LEAR_12w,LEAR 12w,30.920742681859295,36.35926155821062,-15.285662532709095,75.76962332978411
LV,2,LEAR_12w,LEAR 12w,21.18322101447794,28.31969410486599,-12.583505987273286,63.902482170572824
LV,3,LEAR_12w,LEAR 12w,22.47431455311045,30.231993324466984,-11.147988242660741,65.7800177323934
LV,4,LEAR_12w,LEAR 12w,28.36607102354892,35.75258319662782,-7.393650930840208,70.77361585835428
LV,5,LEAR_12w,LEAR 12w,37.68031012451346,45.860306903611544,-13.907768067183746,105.78146438749832
LV,6,LEAR_12w,LEAR 12w,62.474482196604335,86.48310162710466,-21.828139501841807,236.75963022358724
LV,7,LEAR_12w,LEAR 12w,77.62075278402983,123.13916978804355,3.605192365984914,420.35451915529563
LV,8,LEAR_12w,LEAR 12w,130.68927872348863,247.4328049019758,49.80626202334061,814.7153796165102
LV,9,LEAR_12w,LEAR 12w,62.433115623685566,98.97928568174913,10.278388244280123,353.4170952449219
LV,10,LEAR_12w,LEAR 12w,42.37855961689604,55.26868885180476,-1.09665581880934,125.15091175038093
LV,11,LEAR_12w,LEAR 12w,43.89776645028703,55.391144539820615,5.406664374531187,156.96170575971206
LV,12,LEAR_12w,LEAR 12w,38.26478922179464,49.04773746438355,6.3976693214545515,112.8432811276135
LV,13,LEAR_12w,LEAR 12w,40.67010432407777,55.10494329050299,3.7740684195747245,133.86400795477323
LV,14,LEAR_12w,LEAR 12w,51.984796516230844,72.73599342609617,-3.013862231078908,197.94434852339904
LV,15,LEAR_12w,LEAR 12w,53.15630718339338,68.50649009138705,0.20076977547416386,204.14620547978387
LV,16,LEAR_12w,LEAR 12w,39.7283534098876,49.708797868419495,2.0017546564570075,118.71680911354859
LV,17,LEAR_12w,LEAR 12w,56.60973447779849,79.67664015363557,12.439734984522607,217.43680159011927
LV,18,LEAR_12w,LEAR 12w,79.85651045535062,119.84339062105037,17.357824190682145,363.2965579158795
LV,19,LEAR_12w,LEAR 12w,110.70135238936257,173.3614273686048,-10.57539994171588,614.5672382405182
LV,20,LEAR_12w,LEAR 12w,127.40716055015073,189.07385162341774,-41.55240170164799,589.6443112034782
LV,21,LEAR_12w,LEAR 12w,82.61110774148148,117.52817015059615,-21.455548149536032,356.21025041736385
LV,22,LEAR_12w,LEAR 12w,72.34234149050128,102.93270973993152,-31.06294027114574,326.3645259367962
LV,23,LEAR_12w,LEAR 12w,61.82267176863988,82.83913808110471,-11.49663458317566,230.8954496232525
LV,0,LEAR_ensemble,Short-window ensemble,19.986071957411326,26.610089404258442,1.2778388270903593,59.13742191063248
LV,1,LEAR_ensemble,Short-window ensemble,29.17505017973563,36.295171925923505,-11.915539753353222,89.29811336202556
LV,2,LEAR_ensemble,Short-window ensemble,21.308851661185685,27.39877659962619,-8.392947806969056,62.26521456444357
LV,3,LEAR_ensemble,Short-window ensemble,21.92600102472651,29.144129103570798,-5.251978288528646,63.13369297502455
LV,4,LEAR_ensemble,Short-window ensemble,27.547143400284686,33.39431431974404,-4.712334506750997,63.789967774004694
LV,5,LEAR_ensemble,Short-window ensemble,34.637782095273764,42.24038089826633,-12.91459869085562,91.68393246248714
LV,6,LEAR_ensemble,Short-window ensemble,54.86245602512459,75.1076138030449,-19.073199791761446,195.86471707928786
LV,7,LEAR_ensemble,Short-window ensemble,76.79562056325516,131.16991400968672,13.871328983544933,411.29757225103145
LV,8,LEAR_ensemble,Short-window ensemble,128.86130710264501,241.73439324084862,56.35538778997378,814.1489266635799
LV,9,LEAR_ensemble,Short-window ensemble,59.11855000648614,99.419798203343,13.343143470953144,358.5837938796485
LV,10,LEAR_ensemble,Short-window ensemble,38.45563088262285,52.12908845756311,1.2218745872667147,136.10496254527723
LV,11,LEAR_ensemble,Short-window ensemble,42.25027657739238,57.08210983318435,5.290638866340899,175.90439594610984
LV,12,LEAR_ensemble,Short-window ensemble,37.89687775230758,49.58815749042941,11.507446647376444,140.10905697123735
LV,13,LEAR_ensemble,Short-window ensemble,44.46038274867722,60.008296297773065,11.329651517689667,172.71742907491253
LV,14,LEAR_ensemble,Short-window ensemble,52.17208786798809,82.58056954502067,13.716369279020858,309.2564704677661
LV,15,LEAR_ensemble,Short-window ensemble,56.44186369364948,88.76974509205223,10.027267925959519,333.475196811101
LV,16,LEAR_ensemble,Short-window ensemble,41.78942052226464,53.18483412769652,4.311719346338165,141.52890923119108
LV,17,LEAR_ensemble,Short-window ensemble,53.88639581010308,77.41395624828722,16.27247859944803,213.31013362411085
LV,18,LEAR_ensemble,Short-window ensemble,73.43841385687719,115.68861648737646,25.31849387993056,356.78381764164953
LV,19,LEAR_ensemble,Short-window ensemble,106.30027253176884,162.42653337774215,3.963481237177207,596.4682733643219
LV,20,LEAR_ensemble,Short-window ensemble,119.09764060203372,180.79544133707873,-19.61127784925604,615.684427948089
LV,21,LEAR_ensemble,Short-window ensemble,77.57786370361416,111.9997540052051,-15.337667568095716,344.23511116568056
LV,22,LEAR_ensemble,Short-window ensemble,66.40859169876822,99.23502572862546,-27.153657672191674,329.24560430065924
LV,23,LEAR_ensemble,Short-window ensemble,64.7145481580337,92.32035476741912,-9.40735248366309,278.9675317086071
