country,date,model,model_label,MAE,RMSE,mean_error_bias,max_absolute_error
LV,2025-10-07,LEAR_8w,LEAR 8w,178.68627607089363,284.097073079906,173.59275551657413,813.5824737106497
LV,2025-10-07,LEAR_12w,LEAR 12w,175.0404096423274,283.3339840679098,165.044747013869,814.7153796165102
LV,2025-10-07,LEAR_ensemble,Short-window ensemble,176.49561375972738,283.4471590350084,169.31875126522155,814.1489266635799
LV,2025-10-08,LEAR_8w,LEAR 8w,26.44328437160441,34.19016571672082,5.6126239428805675,77.43331706331492
LV,2025-10-08,LEAR_12w,LEAR 12w,31.402799092604056,41.20953572397877,-4.465744453282084,90.61825898135403
LV,2025-10-08,LEAR_ensemble,Short-window ensemble,28.761008640883386,35.96524121259779,0.5734397447992367,84.02578802233447
LV,2025-10-09,LEAR_8w,LEAR 8w,104.14166636273556,163.1464966750327,95.60749787242237,467.4488848461775
LV,2025-10-09,LEAR_12w,LEAR 12w,66.87592968187134,86.45481707921151,55.05250273796347,204.14620547978387
LV,2025-10-09,LEAR_ensemble,Short-window ensemble,82.71055035057441,122.17183862631983,75.33000030519293,333.475196811101
LV,2025-10-10,LEAR_8w,LEAR 8w,34.48433847551519,45.684274851458184,-0.4175741864314446,128.6855890044802
LV,2025-10-10,LEAR_12w,LEAR 12w,44.13690973192772,64.0563736092556,-8.571147806498503,216.5263319549318
LV,2025-10-10,LEAR_ensemble,Short-window ensemble,38.45168082877516,51.671066112924485,-4.494360996464977,141.3911142422991
LV,2025-10-11,LEAR_8w,LEAR 8w,45.63139648105897,61.05181220336517,-1.6004618025588435,190.14162833258274
LV,2025-10-11,LEAR_12w,LEAR 12w,38.86145104997912,49.14371672283213,-27.747542285615424,105.78146438749832
LV,2025-10-11,LEAR_ensemble,Short-window ensemble,38.84080713924683,49.39481060861627,-14.674002044087137,102.73037447122732
LV,2025-10-12,LEAR_8w,LEAR 8w,50.084615677599096,69.01756477206447,17.231731932437125,221.37728193155115
LV,2025-10-12,LEAR_12w,LEAR 12w,38.56261083821178,52.86124316121767,-13.921225844954598,161.80195915478183
LV,2025-10-12,LEAR_ensemble,Short-window ensemble,35.4383196927879,55.38794803153442,1.6552530437412625,191.5896205431665
LV,2025-10-13,LEAR_8w,LEAR 8w,19.843717930565443,24.865739448363062,10.102978483954415,54.34444910805699
LV,2025-10-13,LEAR_12w,LEAR 12w,26.730745081578174,35.800709910215666,11.81420917560346,105.02125777533166
LV,2025-10-13,LEAR_ensemble,Short-window ensemble,21.01515433161869,26.26554672685037,10.958593829778936,47.65682731551071
LV,2025-10-14,LEAR_8w,LEAR 8w,69.54303576574237,97.54653864558142,-31.381278231822744,298.96920364574237
LV,2025-10-14,LEAR_12w,LEAR 12w,90.10184196939183,136.75715286289233,-76.47251327096775,459.42323458906515
LV,2025-10-14,LEAR_ensemble,Short-window ensemble,74.62773087349711,111.56383640360237,-53.92689575139526,379.19621911740376
LV,2025-10-15,LEAR_8w,LEAR 8w,43.02072199766314,55.560269627532605,-27.814756217801214,154.13122719740994
LV,2025-10-15,LEAR_12w,LEAR 12w,67.02425910825313,85.43396928810171,-59.90194000536193,231.5493942223656
LV,2025-10-15,LEAR_ensemble,Short-window ensemble,50.22289277703544,65.44683298399649,-43.85834811158156,192.84031070988777
LV,2025-10-16,LEAR_8w,LEAR 8w,38.27234330627576,49.897789103889245,-33.62535422952893,108.4438258908381
LV,2025-10-16,LEAR_12w,LEAR 12w,42.12432673141822,54.01770448923623,-34.21894638901235,123.46002546150658
LV,2025-10-16,LEAR_ensemble,Short-window ensemble,39.860201963737545,50.81735995745284,-33.92215030927064,115.95192567617232
LV,2025-10-17,LEAR_8w,LEAR 8w,79.07854112355074,118.92400954743928,-66.30342913325727,332.12668266452215
LV,2025-10-17,LEAR_12w,LEAR 12w,80.71956025562862,134.10543643333796,-74.90843777713286,366.7640747313024
LV,2025-10-17,LEAR_ensemble,Short-window ensemble,79.1659138257193,122.42959416248173,-70.60593345519506,329.24560430065924
LV,2025-10-18,LEAR_8w,LEAR 8w,24.30869669157291,30.945818408193567,-20.717592170381405,74.41920889291208
LV,2025-10-18,LEAR_12w,LEAR 12w,30.682692094492577,41.36296190877373,-23.939723232733673,110.84361653238628
LV,2025-10-18,LEAR_ensemble,Short-window ensemble,27.276934736781698,35.11939324284646,-22.328657701557535,92.6314127126492
LV,2025-10-19,LEAR_8w,LEAR 8w,58.38083447032545,95.77738157993795,29.51189591714304,332.2599719139973
LV,2025-10-19,LEAR_12w,LEAR 12w,67.29448748747355,104.47546361684034,31.184124495817898,356.21025041736385
LV,2025-10-19,LEAR_ensemble,Short-window ensemble,62.71629258662457,99.72169293327245,30.348010206480467,344.23511116568056
LV,2025-10-20,LEAR_8w,LEAR 8w,136.57585767351648,193.32911247016398,-22.969720139565407,594.3279705531413
LV,2025-10-20,LEAR_12w,LEAR 12w,131.30162878877843,173.46218221584908,-45.39183362971338,574.0103247778572
LV,2025-10-20,LEAR_ensemble,Short-window ensemble,133.93874323114744,181.13125673660255,-34.18077688463941,584.1691476654992
