feature,mean_cluster0,mean_cluster1,difference_cluster1_minus_cluster0,cohens_d,abs_cohens_d,p_value,q_value
SER_map_std_dev_tissue_PostCon,0.5137403874894559,-0.8959876996095874,-1.4097280870990434,-1.9168566498569013,1.9168566498569013,1.820789993341923e-153,3.2106596882595905e-151
Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,0.5123348458051441,-0.8935363679815909,-1.4058712137867349,-1.9071732952747225,1.9071732952747225,2.505544208204601e-138,2.650865772280468e-136
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_2,0.5106154391043991,-0.8905376408189811,-1.4011530799233802,-1.89541868656698,1.89541868656698,2.0186192100425644e-130,9.707723291931968e-129
SER_map_inverse_difference_normalized_tissue_T1,0.5102406418789394,-0.8898839766101965,-1.4001246184891358,-1.8928695600725665,1.8928695600725665,4.985885550916246e-70,4.057743779130299e-69
SER_map_Dissimilarity_tissue_T1,-0.5073209957834182,0.8847919747889377,1.3921129705723558,1.873170476403811,1.873170476403811,8.97427229735525e-69,6.9814559489719515e-68
Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.5060155867515183,-0.8825152792749694,-1.3885308660264877,-1.8644522457488872,1.8644522457488872,1.9347138529928291e-131,1.0234636282332063e-129
SER_map_Homogeneity2_tissue_PostCon,0.5058795663967488,-0.8822780532990907,-1.3881576196958396,-1.8635469623396772,1.8635469623396772,2.8496847457332997e-80,2.691934340165921e-79
SER_map_Homogeneity1_tissue_PostCon,0.5048940127604987,-0.8805592008263464,-1.3854532135868451,-1.8570051400848668,1.8570051400848668,2.4966470800091947e-82,2.445789454305304e-81
SER_map_inverse_difference_is_homom_tissue_PostCon,0.5048940127604987,-0.8805592008263464,-1.3854532135868451,-1.8570051400848668,1.8570051400848668,2.4966470800091947e-82,2.445789454305304e-81
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_T1_Group_1,0.5024501866441337,-0.8762970517067332,-1.3787472383508668,-1.84091507810108,1.84091507810108,1.1318525891578635e-133,8.553571709492999e-132
Grouping_based_mean_of_washin_slope_3D_tissue_T1_Group_1,0.5024501866441337,-0.8762970517067332,-1.3787472383508668,-1.84091507810108,1.84091507810108,1.1318525891578635e-133,8.553571709492999e-132
Ratio_Tissue_vol_enhancing_more_than_80percent_from_T1_to_Tissue_Vol,0.5009129005342235,-0.8736159515269499,-1.3745288520611734,-1.8308880123889384,1.8308880123889384,4.47417077621701e-126,1.820643338937537e-124
SER_map_Energy_tissue_PostCon,0.5000382668154641,-0.8720905486722079,-1.372128815487672,-1.8252151630111688,1.8252151630111688,8.075529397169265e-107,1.5822055744824226e-105
Grouping_based_mean_of_washout_slope_3D_tissue_T1_Group_2,0.4995853034773566,-0.8713005590408661,-1.3708858625182228,-1.822286297453108,1.822286297453108,6.652550995252575e-127,2.9326662304071767e-125
Ratio_Tissue_vol_enhancing_more_than_70percent_from_T1_to_Tissue_Vol,0.4917634708633699,-0.8576589104938535,-1.3494223813572233,-1.7726553084818182,1.7726553084818182,6.877646622401516e-118,1.914881612237053e-116
SER_map_Max_Probability_tissue_PostCon,0.4877952219208879,-0.8507380953739299,-1.3385333172948175,-1.7481331198544403,1.7481331198544403,4.6935154728934746e-88,5.1726451774180175e-87
Grouping_based_mean_of_washout_slope_3D_tissue_T1_Group_1,0.4831167931532835,-0.8425786928209058,-1.3256954859741894,-1.719761769390772,1.719761769390772,3.0047100423667474e-121,1.0596610749413396e-119
Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,0.4790391751495635,-0.8354671328501326,-1.314506307999696,-1.6954917300453074,1.6954917300453074,7.390326567133766e-108,1.5036472130822164e-106
Grouping_based_mean_of_peak_enhancement_slope_3D_tissue_PostCon_Group_1,0.4771228089808949,-0.8321248989964409,-1.309247707977336,-1.6842280628357935,1.6842280628357935,1.624643351171475e-133,9.549292586330116e-132
Grouping_based_mean_of_washin_slope_3D_tissue_PostCon_Group_1,0.4771228089808949,-0.8321248989964409,-1.309247707977336,-1.6842280628357935,1.6842280628357935,1.624643351171475e-133,9.549292586330116e-132
PE_map_mean_tissue_T1,0.4732736490266827,-0.8254117807429656,-1.2986854297696484,-1.661871583098373,1.661871583098373,5.945114604609044e-117,1.5724828129190918e-115
PE_map_sum_entropy_tissue_T1,-0.4679449295362775,0.8161182402031512,1.2840631697394287,1.6314918402256489,1.6314918402256489,5.6355102956271136e-64,4.140534647759366e-63
PE_map_Entropy_tissue_T1,-0.4650909582909703,0.8111407784479422,1.2762317367389129,1.6154837893734504,1.6154837893734504,2.288147523382914e-58,1.4409881427018592e-57
SER_map_inverse_difference_normalized_tissue_PostCon,0.4619695551736031,-0.8056969027728828,-1.2676664579464858,-1.598178816820703,1.598178816820703,5.174074142455537e-55,3.041205801509977e-54
Ratio_Tissue_vol_enhancing_more_than_50percent_from_T1_to_Tissue_Vol,0.4607537277243216,-0.8035764418049178,-1.2643301695292395,-1.5914945520621893,1.5914945520621893,1.6537221696707833e-95,2.2431257121944728e-94
SER_map_Dissimilarity_tissue_PostCon,-0.4577254426724077,0.79829496847033,1.2560204111427378,1.574980162939171,1.574980162939171,1.1405379403490495e-53,6.48757602628653e-53
